"season","home_level_name","row_count"
2013.0,Class A,348728
2013.0,Class A Advanced,343539
2013.0,Class A Short Season,116449
2013.0,Double-A,604429
2013.0,Rookie,310324
2013.0,Triple-A,933297
2013.0,Winter Leagues,225132
2014.0,Class A,373006
2014.0,Class A Advanced,353135
2014.0,Class A Short Season,116930
2014.0,Double-A,608872
2014.0,Rookie,312563
2014.0,Triple-A,967522
2014.0,Winter Leagues,228699
2015.0,Class A,397215
2015.0,Class A Advanced,383001
2015.0,Class A Short Season,204948
2015.0,Double-A,606258
2015.0,Rookie,320586
2015.0,Triple-A,962523
2015.0,Winter Leagues,267347
2016.0,Class A,622537
2016.0,Class A Advanced,576980
2016.0,Class A Short Season,235998
2016.0,Double-A,604534
2016.0,Rookie,343340
2016.0,Triple-A,951388
2016.0,Winter Leagues,251347
2017.0,Class A,626290
2017.0,Class A Advanced,608915
2017.0,Class A Short Season,256331
2017.0,Double-A,604436
2017.0,Rookie,354256
2017.0,Triple-A,927217
2017.0,Winter Leagues,302173
2018.0,Class A,621033
2018.0,Class A Advanced,630233
2018.0,Class A Short Season,256318
2018.0,Double-A,611583
2018.0,Rookie,413395
2018.0,Triple-A,645322
2018.0,Winter Leagues,271191
2019.0,Class A,651809
2019.0,Class A Advanced,634484
2019.0,Class A Short Season,263133
2019.0,Double-A,633387
2019.0,Rookie,443339
2019.0,Rookie Advanced,203855
2019.0,Triple-A,1004410
2019.0,Winter Leagues,269935
